Id,ParentId,PostTypeId,CreationDate,Title,Body
18,16,2,2015-01-28T01:30:33.230,,"What flavor is ""preferable"", strikes me as primarily opinion based. However, asking about the general types of coffee flavors should be encouraged. When describing a flavor or taste there are going to be some adjectives that may not be viewed the same way by everyone reading them. If one person says a coffee is ""bitter"", that's not necessarily opinion based. Saying that ""because it's bitter it is no good"", however, is.
It's hard to mark a defining line, but it's a line that we can define as a community, and shouldn't try to pin down right away (though, for the most part, I think it will be fairly obvious when someone crosses it).
Other examples:
Opinion based

A robusta is better than an arabica
Do you prefer a french press or a pour-over?
Bitter coffee's taste bad

Not opinion based

This coffee has a bitter aftertaste
Coffee A is more bitter than coffee B (somewhat opinion based, but how else do you describe it when making a comparison? this really depends on the question, I think)

"
20,,1,2015-01-28T01:36:49.147,Are questions about growing coffee beans on topic?,"I posted a question about coffee growing, and asked what mechanisms affect the flavor of coffee grown at different altitudes (I was thinking of things like temperature, wind, soil differences, etc. might come up).
At least one person suggested that this second part of the question (about what mechanisms cause flavor differences if altitude does indeed affect the final product) was ""too scientific"" and suggested that it be closed.
Does this mean all growing questions should be off topic? Or all questions related to the chemistry or biology of coffee? Where do we draw the line?
"
21,20,2,2015-01-28T01:39:32.123,,"My personal opinion is that this site should be for coffee growers, roasters, and drinkers alike and that somewhat ""scientific"" questions should be perfectly on topic as long as they pertain more to coffee than the science.
Questions about the biology of a coffee bean probably belong elsewhere (as they are more about biology and could probably apply to any bean), questions about how some chemical process affects the final flavor of coffee, probably belong here (as it's something a coffee expert could probably answer better than a general chemistry expert).
TL;DR — If a coffee expert could answer it better than a insert-branch-of-science-here expert, it's probably a better fit here.
"
23,14,2,2015-01-28T01:48:54.133,,"It may depend. If they are asking something like:

Is It Preferred To Have Flavor A or Flavor B

That will be subjective and primarily opinion-based as every one has their favorite choice. But if the question is something like this:

Will This Affect The Flavor of The Coffee

That will not be subjective due to the fact it is just asking of the flavor will change or not. This is the situation with the question you posted. The asker just wants to see how the flavor will change, not which one is the best and why. I hope this answers your question!   
"
24,1,2,2015-01-28T01:53:35.523,,"I think pour-over is the best tag for the job, simply because it will not be confused with another method. If you call it drip-coffee, then one locale will try to apply the tag to one method of brewing, while another locale will use a different one.
If we then call the machine method filter-coffee, and discourage the use of drip-coffee, it makes for less ambiguity. Admittedly, it does make it difficult for the nationalities who don't use those terms, but I think that's better than having half the people on here tagging with one and half the other.
TL;DR — I think we should use pour-over and filter-coffee.
"
25,4,2,2015-01-28T03:49:37.673,,"""Stackbucks Coffee""
Sorry, that was too tempting... I like the chatty aspect, though.
"
26,4,2,2015-01-28T07:20:05.917,,"just ""café"" ... 

Above the line is my answer. The rest is just filler to fulfill minimum length criterion.
"
27,12,2,2015-01-28T07:23:48.043,,"Coffee is not simply a food, but a beverage with phisiological and neurological effects, that are the main reason many (most?) people drink it.
So it's quite natural that the way the coffee works on human body should be on topic there.  At least in my opinion. 
"
28,,1,2015-01-28T07:27:33.803,What logo we can have ? Let's start working,"as a nascent community, we like to grow as well as have an identity. A Logo carry a lot about the identity.
We should start think, brew, and sketch the ideas. Even you can contribute your not-so-polished design.
IMO, A logo should be simple, unique, meaningful and fun. What do you think ?
"
29,4,2,2015-01-28T07:49:03.007,,"The Coffehouse
Since a coffeehouse is where you take a break and have a chat. So my vote goes for ""The Coffehouse"".

""Discussing the War in a Paris Café"", The Illustrated London News 17 September 1870
"
30,4,2,2015-01-28T09:31:00.263,,"""The roast""
followed by more text to sate the character demon.
"
31,4,2,2015-01-28T09:54:17.403,,"The Grinder
We are all delicious coffee beans ;-)
"
32,,1,2015-01-28T09:56:12.100,Should questions about recipes involving coffee be considered off topic?,"I'm not talking about recipes for specific coffees, but more like recipes for other food and drinks that include coffee, perhaps even as the primary flavour.
For example, coffee desserts, coffee milkshakes, etc.
Should these be considered on topic here because they involve coffee to such an extent that the choice of bean / roast etc, is likely to affect overall flavour, or should they be designated as off-topic because they are not, in and of themselves, coffees.
To add to that, if we are to ban questions about coffee milkshakes, where do we draw the line between some of the milkier, flavoured iced coffees and milkshakes?
"
33,5,2,2015-01-28T10:01:41.423,,"I think it is a shame that sharing knowledge of good coffee types/roasts is likely to be off topic here but I think that the subjective nature and potential for spam is something that could degrade the quality of this site (in particular the latter). I don't know what the overseers think about this as it would be a shame to not capture and share recommendations with the rest of the community. In the early days of SO some of the most useful pages which are now off topic were good book recommendations and so forth which then became wikis. So is it possible that a wiki of recommended coffee beans/roasts is permissable, I don't know.
The problem with chat rooms is I don't know how permanent the postings are and how searchable it is. It could still work though.
"
34,4,2,2015-01-28T10:07:27.860,,"""The Baristas"", or even ""The Barista Room"" 
"
35,4,2,2015-01-28T10:40:08.020,,"The Jampot
After the first coffee shop in London.
"
36,,1,2015-01-28T10:47:22.410,Do we consider this question on topic,"According to this it states:

Don’t ask about…
Questions that are primarily opinion-based

This question I think is likely to elicit opinions and subjective answers and probably should be considered off topic.
Do we think these types of questions should be considered on topic for this site?
"
37,28,2,2015-01-28T12:03:06.817,,"A coffee bean. This was basically the idea i had in mind when i made the proposal to begin with. Everything we talk about is based on the coffee bean.
"
38,5,2,2015-01-28T12:30:01.167,,"I think they're unavoidable for a topic such as this. Gear is, like it or not, an essential part of making and enjoying great coffee and there's a lot of it available. 
Asking for an honest product recommendation doesn't make for a bad question; asking in a manner that invites dozens of answers due to a lack of scope and constraint makes for a bad question. There are only a limited number of double-walled glass presses in a 2 cup size, and I'd be quite put off if I came to a site all about coffee and couldn't ask which one was also likely to hold up in a dishwasher. 
Questions that don't limit the potential number of answers that could be received are by nature too broad, and you have a close reason for those available to you. I'd wait, see if these actually become a problem, and enjoy giving thorough answers to the more interesting ones while you do. It's fine to have a zero-tolerance spam policy as many of our other sites have adopted, and an inclination to burn link-only or astroturf-like answers as you see them.
But don't stop yourself from recommending a brand if you're happy with that brand. I love Breville's products and I recommended one of their grinders to someone earlier today, in the course of writing a thorough answer. And if spammers start writing comprehensive, thorough answers that receive up-votes then we can basically say mission accomplished.
Software Recommendations does a pretty good job of getting this right, and I'm sure that you could too. But, please, don't solve problems that you don't yet have - these types of questions are quite common in this topic, make sure you're doing yourselves a favor before shutting them down and you can't do that based on less than 100 questions so far in a private beta.
"
40,4,2,2015-01-28T14:10:16.197,,"""The Puck""
Was also thinking ""The Whack Box"", but terminology might not be consistent there. I think 'puck' is universal for the spent grounds in a portafilter. 
"
41,4,2,2015-01-28T14:43:28.223,,"Since we're throwing out ideas how about ""Crema""
"
42,12,2,2015-01-28T16:53:09.193,,"That's a good question. I, as a user of this site, would be interested in health questions but you made a good point - is the community able to appropriately answer the question? 
Good answers will have to link to their sources. 
I would vote that we should allow such questions but the community will have to be vigilant regarding duplicate questions.
"
43,4,2,2015-01-28T21:02:08.250,,"""Nighthawks"".   
Too subtle?
It is referring to the name of this quite famous painting of a café late at night:  

(From Wikipedia)
"
44,14,2,2015-01-28T22:31:59.327,,"I think all flavor questions should be fair game - there is an entire field (sensory science) dedicated to understanding human perception and preferences of flavor. Many of us are interested in coffee! 
For example, I answered this question, using a system that robustly measures flavor, and without including biased opinions.
"
46,4,2,2015-01-29T01:29:39.570,,"""Coffee Drops""

Or a variation on the idea, such as ""Coffee Dripping"", ""Coffee Brewing"".
"
47,12,2,2015-01-29T03:39:27.267,,"Health advice should be left to a doctor. We can never know enough about a person to answer such a question on calcium deficiency. 
On the other hand something like, which coffee will hurt my stomach less? May fall into our field. The line is blurred right now, and I can tell you the first question should not be answered by us, but this second one could be.
"
48,,1,2015-01-29T04:07:49.210,Do we allow self-endorsements here?,"With no intention of singling someone out, I am wondering if posts that include links that further self-interest are considered off topic. I am aware of the ""Should product recommendations be on-topic?"", but I feel like this could be slightly different. Examples that I've seen:

""How can I go about developing my ability to taste flavors in coffee?""
How will “cold brewed” coffee differ from traditional hot-water extration methods?
When does coffee go off?
What coffees are the least acidic?

Now these are just what has already developed on the website and the information that was provided was relevant, but was directing us to the product that created the data relevant? What if they were links to beans I roasted, brewing products I've created, or a cafe that I own? If a top post, is a link to a Chemex that I can purchase through a Peet's Coffee, wouldn't the forum function as an unpaid advertisement? 

As a note, I feel that those were all well structured answers and great contributions.
"
49,48,2,2015-01-29T04:51:57.547,,"If they're well structured answers that were supported by a link given to something the author is affiliated with, it's generally fine. This is what to look for:

Do all of their answers in some way promote their product? That can be a red flag, not always, but can be. Some people just come to sites specifically to answer questions about their product. Look carefully.
Are many of their answers that also mention their product only tangentially related to the question at hand? That can spell trouble, if someone is looking for places to plant stuff
Do they clearly mention that it's their link? That's important, as it asserts a sort of ""I hereby assert that this is given in good faith in the spirit of being helpful"" thing

We positively want people whose job is coffee on this site, those are your professionals, the people that do lots of science and can answer tougher questions, especially about the brewing process. If they support some of their answers with stuff they're affiliated with, that's great. If they go a bit too overboard, moderators have means of contacting them to let them know.
With that said...
Coffee is a topic that is ripe with products (no pun intended), and we will see our fair share of folks that have come here for the wrong reasons. Fortunately, most of us have a very good ability to determine when something just doesn't seem right - and we give you the ability to flag things for moderator attention.
If you see something that gives you a bit of pause, and you seriously wonder if the person is here for the wrong reasons, flag it as 'other' and let us / the moderators-to-be have a look at it. Blatant spam obviously deserves a spam flag directly, I'm talking about the ""If it weren't for the other answers in their history linking to the same site, this would seem completely benign"" sorts of things.
Our job as hosts is to make people feel welcome and do our best to basically get out of their way as they participate. The fewer rules, the better. If this becomes a major problem down the road we can revisit it, but for now, I think it's sufficient if folks just keep an eye out for anything (or, to the point, anyone) going sideways with it.
"
50,32,2,2015-01-29T06:12:49.627,,"It's pretty simple. If they're asking about brewing components, or brewing technique - they're on topic. If it's more about cooking components, or cooking technique, then it's probably one for Seasoned Advice.
There is going to be overlap, and you should be insanely jealous when it comes to your site - you want any good question that fits within the topic to stay here. Coffee is a common ingredient in many popular deserts, and fits well here, as long as the 'gist' requires knowledge of not just cooking, but also coffee in order to answer.
I wouldn't do anything now, there's less than 200 questions so far, and the site isn't even public yet. When you get to ~500 questions and there's a bigger sampling of these, then it's much easier to identify factors that make something a solid fit here rather than somewhere else. 
"
51,12,2,2015-01-29T14:56:12.690,,"I think personal health advice should be off-topic, but requests for references to research on the physiology and genetics of caffeine response should be on-topic.  See for example this ""twin"" study on caffeine intolerance and genetics.
That raises the question of how ""good"" (authoritative) sources should be.  I doubt there is a bright line test that can be applied, as for example the question yesterday about safety of drinking Kopi Luwak coffee.  It can be, as far as I'm concerned, left to the voting up/down of Answers to police the use of reliable sources.
"
52,,1,2015-01-29T17:05:34.633,Should original research be allowed?,"Some things are experienced first-hand but does it imply that the person is factually correct all the time? There might just be people asking serious health-related issues and we might tell them about our opinion  (which is wrong) but it can either be correct and not work because of natural causes or it might be blatant lies. So, should we source every answer we put, or atleast suggest verification sources?
For more info on what is original research, https://en.wikipedia.org/wiki/Wikipedia:No_original_research .
EDIT: I would appreciate more community input. 
"
53,52,2,2015-01-29T17:29:36.437,,"Unless the question calls for opinion (which, in general, they shouldn't), everything should be backed with published, verifiable evidence, IMO. Anecdotes are not evidence and so should be avoided. Even though coffee is a highly subjective experience, there is quite a bit of research on the topic and we should utilize that when answering.
I think the term ""Original Research"" is a tiny bit misleading to someone who doesn't read that link because all answers require research. I know it means no ""unattributable"" text, and I think we should include something to that effect, I just don't know if ""Original Research"" is the best way to convey that, someone might get scared away from answering because they think they're unable to write an answer in their own words (which is fine, as long the answer contains attributable facts).
I go to SE for high-quality answers to high-quality questions and compromising on that doesn't seem like a good direction to go for this site. We don't want to go the way of yahoo answers...
"
54,52,2,2015-01-29T20:36:35.037,,"Wikipedia's policy is tilted toward the use of secondary sources, almost to the exclusion of primary sources, with the intention of providing conclusions that have a consensus status.
I don't think that should be our approach.  I may be coming from a mix of StackExchange sites where it is often possible for somewhat naive questions to get responses from bona fide experts.  In any case I see value in the experience of community members informing answers, and generally the community voting can be relied upon to catch out speculation and self-promotion.
"
55,2,2,2015-01-29T20:48:55.387,,"We have a New Questions feed on another site that I frequent. It's a great way to make sure frequent chat users are reviewing all incoming questions. Being a brand new beta, it would also be a good place for some of the discussions that will happen around what is on/off topic. 
http://coffee.stackexchange.com/feeds

"
56,4,2,2015-01-29T22:28:17.143,,"Bean Me Up
This appeals to my sci-fi nerdy background!
I do know that it is an existing Coffee Shop, but if there are no copyright issues, it would be awesome!
"
57,,1,2015-01-29T22:56:05.127,Theme issue on mobile,"On mobile (specifically android 4, chrome)  on both coffee and meta.coffee has an issue with the bar that has Questions, Tags, Users, etc.
The hightlighted option has a red underline, but the text almost disappears - it is very very close to the backgroud color and invisible unless fully zoomed in.
"
58,36,2,2015-01-29T23:30:35.340,,"There has to be some leeway sometimes.
For example in the SFF-Stack there is an ""Off-Topic"" close reason of:

Questions seeking scientific solutions or explanations are off-topic unless they relate directly to a cited work of fiction. There are a number of other Stack Exchange sites dedicated to answering questions on non-fictional sciences.


But there are several questions which ask for purely 'scientific explanations' which have been left open (after much discussion). Some of them are even considered to be the site's most popular questions. Examples:

https://scifi.stackexchange.com/questions/43651/is-sheldon-right-that-superman-would-have-killed-lois-when-he-caught-her
https://scifi.stackexchange.com/questions/28862/how-did-the-cookfire-get-hot-enough-to-melt-gold-in-game-of-thrones
https://scifi.stackexchange.com/questions/72925/why-is-there-no-electricity-available-in-the-walking-dead-series

As long as we define what we can allow, and what we can't.
I suggest that we let the question sit for a little while, see what types of answers pop-up. If the answers are low quality / primarily opinion-based, then we can surmise that the question is not a good fit for this site.
"
59,48,2,2015-02-01T18:38:41.347,,"The posts in question are all my own - Hi everyone! 
I'm here because I'm a coffee and tasting professional, and I want to help guide people though experiencing flavors, brewing better coffee, and understanding all the things that go into making coffee interesting, unique, and great. 
I feel I can answer many of these questions better than nearly any other individual or organization because I work for a company that has around ~20,000+ coffee reviews on a full sensory system. I am allowed to use and post graphs and information derived from that data as long as I include a link back to the company. 
With the exception of ""How can I go about developing my ability to taste flavors in coffee?"" all of my answers are highly up-voted answers; that question obviously crossed the line with the community into pure 'promotion' (despite the votes, I believe the app helps individuals learn to taste - but I did a poor job of communicating it). 
I hope to continue to answer questions and support this community while staying on the right side of the self promotion line. If/when I fail at that, please let me know - my email is in my profile. 
"
60,,1,2015-02-02T09:29:18.040,"Tag Synonym Request: stovetop, percolator -> moka","Current we have stovetop (1), percolator (1), and moka (2). These are all different words for the same thing, and we should unify them into a single tag. So:

What tag do we pick for this?
Once we've decided, can synonyms be created from the other two.

"
61,60,2,2015-02-02T09:32:02.667,,"I would suggest we use moka as the tag. Not only is it what the people who invented it call it, but it's the most popular term according to Google Trends:

"
62,,1,2015-02-02T14:04:36.153,Should we require proof of prior effort?,"A lot of stack exchange sites require that the asker demonstrates that they have made some prior effort to solve the problem themselves before asking the site.
Should we do the same?
If so, what level of effort should we require, and what sort of proof should we accept that this effort has been expended?
"
63,62,2,2015-02-02T15:35:57.260,,"No. If a question is clear and answerable, it should be answered. 
Not all questions need a historical context or a show of prior efforts. If a bit of background context makes a question clearer, the author should provide it. But when a community makes that a site-wide requirement, too often it becomes overdone when communities feels compelled to enforce these rules everywhere, regardless of merit.
If a question can be made clearer by providing more context, you can easily ask the author for clarification in a comment. With a bit of thoughtful guidance, you create a pleasant end-user experience for all. But when every other question is rubber stamped with ""What have you tried?"", it can start to look a bit forced and unnecessary, and even a bit harassing. 
"
64,4,2,2015-02-03T09:54:26.290,,"Java
"
65,,1,2015-02-05T03:20:47.353,Rename [kopiluwak] and [weaselcoffee] to hyphenate their names,"We have two mainsite tags thanks to this question on kopi luwak: kopiluwak and weaselcoffee
Tag convention is to hyphenate spaces in a name, not skip them, so these tags should be: kopi-luwak and weasel-coffee. The latter should probably be a synonym, since we don't need two tags for the same coffee.
Could a moderator replace these tags?
"
66,65,2,2015-02-05T08:43:32.370,,"Just checking, we're keeping luwak and not alamid (as it's known in most of the rest of SE Asia?) I'm fine with that, as luwak is how it's been made famous, I just want to make sure before I go doing tag surgery :)
"
67,2,2,2015-02-06T14:14:32.833,,"Newest [coffee] questions on Seasoned Advice. Might be some good overlap if people putting coffee in ovens (or whatever it is they do over there) need advice.
"
68,,1,2015-02-08T20:35:30.607,"Potential tag synonyms: flavor, flavour, coffee-taste","There is currently one question tagged with flavour, and several others taged with flavor. There is also a tag coffee-taste. Since I doubt anyone has enough rep to create a synonym yet, I made this meta post.
These could potentially all be merged.
What should be used? Can a SE person please unify the questions / make synonyms? Are there any other variations of this already in use that should also be merged?
"
69,62,2,2015-02-08T20:37:29.023,,"It's generally pretty obvious when a question would have been trivial to research beforehand (or could be improved if the author had researched it a bit before hand). At least at first, we should play it by ear and let the community decide on a question by question basis.
Hard rules about things that are potentially subjective are a bad idea IMO. If the question is a good fit, and clearly defined, it's probably okay (even if it could have been solved by a quick search).
"
72,68,2,2015-02-09T16:01:19.293,,"I merged the flavor and taste tags and and created a synonym mapping from taste → flavor.
When it comes to regional spelling variations, we've standardized on the US variant. There's no need to create a synonym for flavour because the text completion will suggest the correct tag.
"
73,5,2,2015-02-09T23:08:30.040,,"Product recommendations should be on-topic if they are answer to a specific question.  Product recommendations are not on topic when they are the answer to a non-specific or primarily opinion based question.
""What home roaster takes up the least space, uses the least electricity and produces the least amount of smoke?""  - On-Topic Product Recommendation.  Products that do not answer the question are easy flagged as spam or downvoted as bad answers.  
""What shop in Portlandia makes the best espresso?"" - Off-topic Product Recommendation.  The answers are inherently opinion based because the question itself is bad and can't be salvaged.
"
74,60,2,2015-02-10T12:53:42.783,,"I call moka and percolator very different things; I think [moka] and [percolator] should remain separate and distinct.
Moka is what some call a stovetop espresso maker, which I think is a misnomer anyway.  But it uses pressure to force water through grounds.  Water goes through the grounds (which are in the middle of the device) once into a storage vessel on top, which is separate from the chamber in which the water was added at the beginning of the brew.
But I call percolator something that boils water and drips it over grounds repeatedly.  There is no separate storage vessel for the coffee once brewed; water (at first) or (partially-brewed) coffee is repeatedly boiled and dripped over the grounds (which are instead at the top of the chamber).  The brewed coffee ends up where the plain water was at the beginning of the brew.
I have both devices, and use them differently; e.g., a coarser grind for percolator.  I find the outcome of percolated coffee to be more like French press or perhaps drip; moka is more like Turkish coffee or espresso. Though similar in concept, they're (to me) totally different in outcome.
Is this a regional terminology difference?  Am I splitting hairs, or have I been doing this wrong all the years?? :)
I agree to drop ""stovetop"" as it's ambiguous.
"
75,,1,2015-02-10T17:00:34.253,Can we turn on suggest-edit for this meta?,"I am apparently not the only one who's ever been confused about this.  Meta sites do not have an edit queue, and so the ""edit"" link is not active for (other users') questions and answers on [meta] for those with less than some threshold rep (1k or 2k depending on the site).  The only reason seems to be that it isn't necessary and/or it's harmful to add another queue for mods.
The help section says that any user should be able to suggest edits, which is true on the [main] site.  But because there's no suggested-edit queue it seems that the edit ability on [meta] only for higher-rep users (1000+; 2000+ on ""mature"" sites), which is the trusted-user rep threshold at which point you can make edits directly (without going into a suggestion-queue). I suppose this means that at 1k rep you can also edit meta directly, but it's a little awkward to suggest stuff that ought to be changed ""out of band"".  This discourages editing on [meta], which may be a fine thing, but I think it also reduces participation, which is probably not a good thing.
There's an apparently-stalled (years-old) feature request to expand edit features in [meta]s. Does anyone else want this?  Mods / high-rep users, do you not want this? Is this reasonable for beta-sites, like this one (as of this writing)? 
I suspect this too much of an uphill battle, with losing cost-benefit, of marginal value.
"
76,75,2,2015-02-11T02:00:26.160,,"I want this quite a lot.
Over on RPG.SE I'm a prolific editor. On other sites I visit I also propose a lot of edits. My main mode of interaction with Stack Exchange sites at this point is to edit and improve content already there. I've proposed some edits on here, too. (My accepted:rejected ratio is pretty high in favour of accepted edits at this point.)
But on Meta, I hover over that greyed-out edit link on a post a couple of days old to make an improvement that stands out, and I click it, and then I sigh quietly and move on to continue reading.
If there were a feature that let me actually suggest edits here on meta I'd like that, and I'd use it a lot.
"
77,,1,2015-02-11T16:16:37.473,Retag-request: merge drip and drip-coffee (completed),"I see two tags that seem to be synonymous:

drip
drip-coffee

I can't think of any use of ""drip"" that's on-topic here that would not be identical to ""drip-coffee"".
Edits: 

As @Robert says below, the right way is merge/rename/delete to have only one tag.
removed this ill considered aside... Meta-meta: should any tag on Coffee.SE contain the string ""coffee""? 

"
78,77,2,2015-02-11T20:04:46.597,,"The process is actually called ""drip brewing"", so I would just rename the tag(s) to drip-brew. No synonym needed; text completion will help users find the proper tag: drip → drip-brew
Meta-meta answer: I didn't actually have a problem with using the word ""coffee"" in a tag… assuming that was the proper nomenclature for that particular process. Calling it something else would not help improve clarity, but we don't have a tag called ""french press coffee"" or ""moka coffee"", so in this case, the point is somewhat moot.
"
79,52,2,2015-02-11T20:51:16.203,,"I maintain that original research should be permitted; coffee is a mix of science and art:

substantiating references should be provided (and expected) for factually verifiable data: e.g., scientific facts; and
""original research"" or experiential recounting should be permissible for the ""artful"" aspects of coffee; e.g., techniques.

Hopefully expanding on @hardmath's answer, I believe that community input and verification is the mechanism to ensure a high quality of information, no matter what its source. I think there are three issues here: fact, art, and opinion.
If something is a verifiable fact: e.g., 

Kirk never said ""Beam me up, Scotty!"" (refs from here)
Han Solo did say ""I'm in it for the money.""

These facts can be (and indeed should be) backed up by a reference. If they're not there, they can be (and should be) added. If they're false, a countering reference can be provided, and/or the statement gets downvoted, deleted, edited, etc. 
Art-, experience-, or technique-based questions and answers are legitimate; for example:

speculation, such as about diner coffee taste
actual literal art or technique of latte foam
experiential or traditional factors in serving and drinking coffee, like wide serving cups.

These happen to also be high-rating (10+ as of this writing), popular questions; but that doesn't itself make them legitimate. In some cases, these can (and should) be backed up with citations or references.  Are those examples of non-fact, and are they legitimate?
Purely opinion-based questions and answers are generally not welcome, and I don't think this site should be any different.  Except, of course, in meta sites, where (paradoxically?) opinion is largely the only topic being discussed. 
"
80,,1,2015-02-11T21:25:24.493,Can tags contain the word 'coffee'?,"This was inspired by a few recent posts. Currently we have a couple of tags: ground-coffee and flavored-coffee that contain the word. While the second could lose it easily enough (maybe flavorings would be nicer?), what about the first? ground doesn't feel quite right, but neither does having 'coffee' in the tag.
So this question is two fold:

Should the word coffee be removed/banned from all tag names?
If so, what do we do with the existing ones that do have it?

"
81,80,2,2015-02-11T22:47:14.620,,"I don't think ""coffee"" needs to be banned outright from tags, though if others disagree I won't hold that position at all strongly.
If you do want to remove it from tags, I might suggest replacing the existing ones with grinding and flavoring. They're a little less odd than just ground and flavor, especially because flavor is more likely to describe questions about how different types and styles of bean, grind, or preparation can affect flavor--which is a different topic entirely from discussing flavored coffee. 
"
82,4,2,2015-02-11T23:36:17.020,,"Moka Mocha
They rhyme and it sounds awesome and rolls off the tongue.
"
83,80,2,2015-02-12T00:22:55.683,,"Personally I don't think that coffee should be removed from the tags unless it is very redundant.
For example, the tag  flavored-coffee would be much more ambiguous as flavoring or flavor. You could then be talking about the flavor of the coffee, or adding flavor shots to a coffee. I think that in certain tags, especially ones like flavored-coffee, we need to keep the word coffee. I feel like ground-coffee needs to have the word coffee in it too.
In other situations, such as dark-roast-coffee, I think that it could be removed entirely. That example is just a hypothetical one though to show where it does get redundant.
"
